value_exc_vat,value_inc_vat,valid_from,valid_to,payment_method
1.05,1.1025,2024-01-02T05:00:00Z,2024-01-02T05:30:00Z,
5.88,6.174,2024-01-02T05:30:00Z,2024-01-02T06:00:00Z,
7.35,7.7175,2024-01-02T06:00:00Z,2024-01-02T06:30:00Z,
13.23,13.8915,2024-01-02T06:30:00Z,2024-01-02T07:00:00Z,
11.55,12.1275,2024-01-02T07:00:00Z,2024-01-02T07:30:00Z,
15.46,16.233,2024-01-02T07:30:00Z,2024-01-02T08:00:00Z,
13.44,14.112,2024-01-02T08:00:00Z,2024-01-02T08:30:00Z,
17.85,18.7425,2024-01-02T08:30:00Z,2024-01-02T09:00:00Z,
17.39,18.2595,2024-01-02T09:00:00Z,2024-01-02T09:30:00Z,
17.09,17.9445,2024-01-02T09:30:00Z,2024-01-02T10:00:00Z,
14.15,14.8575,2024-01-02T10:00:00Z,2024-01-02T10:30:00Z,
16.96,17.808,2024-01-02T10:30:00Z,2024-01-02T11:00:00Z,
17.47,18.3435,2024-01-02T11:00:00Z,2024-01-02T11:30:00Z,
19.7,20.685,2024-01-02T11:30:00Z,2024-01-02T12:00:00Z,
18.19,19.0995,2024-01-02T12:00:00Z,2024-01-02T12:30:00Z,
17.85,18.7425,2024-01-02T12:30:00Z,2024-01-02T13:00:00Z,
19.32,20.286,2024-01-02T13:00:00Z,2024-01-02T13:30:00Z,
17.91,18.8055,2024-01-02T13:30:00Z,2024-01-02T14:00:00Z,
17.85,18.7425,2024-01-02T14:00:00Z,2024-01-02T14:30:00Z,
16.67,17.5035,2024-01-02T14:30:00Z,2024-01-02T15:00:00Z,
15.2,15.96,2024-01-02T15:00:00Z,2024-01-02T15:30:00Z,
15.75,16.5375,2024-01-02T15:30:00Z,2024-01-02T16:00:00Z,
28.75,30.1875,2024-01-02T16:00:00Z,2024-01-02T16:30:00Z,
32.13,33.7365,2024-01-02T16:30:00Z,2024-01-02T17:00:00Z,
29.17,30.6285,2024-01-02T17:00:00Z,2024-01-02T17:30:00Z,
28.12,29.526,2024-01-02T17:30:00Z,2024-01-02T18:00:00Z,
28.75,30.1875,2024-01-02T18:00:00Z,2024-01-02T18:30:00Z,
27.15,28.5075,2024-01-02T18:30:00Z,2024-01-02T19:00:00Z,
15.9,16.695,2024-01-02T19:00:00Z,2024-01-02T19:30:00Z,
13.65,14.3325,2024-01-02T19:30:00Z,2024-01-02T20:00:00Z,
16.78,17.619,2024-01-02T20:00:00Z,2024-01-02T20:30:00Z,
13.42,14.091,2024-01-02T20:30:00Z,2024-01-02T21:00:00Z,
15.9,16.695,2024-01-02T21:00:00Z,2024-01-02T21:30:00Z,
11.55,12.1275,2024-01-02T21:30:00Z,2024-01-02T22:00:00Z,
13.23,13.8915,2024-01-02T22:00:00Z,2024-01-02T22:30:00Z,
9.87,10.3635,2024-01-02T22:30:00Z,2024-01-02T23:00:00Z,
16.38,17.199,2024-01-02T23:00:00Z,2024-01-02T23:30:00Z,
13.44,14.112,2024-01-02T23:30:00Z,2024-01-03T00:00:00Z,
14.28,14.994,2024-01-03T00:00:00Z,2024-01-03T00:30:00Z,
18.06,18.963,2024-01-03T00:30:00Z,2024-01-03T01:00:00Z,
17.28,18.144,2024-01-03T01:00:00Z,2024-01-03T01:30:00Z,
14.91,15.6555,2024-01-03T01:30:00Z,2024-01-03T02:00:00Z,
15.48,16.254,2024-01-03T02:00:00Z,2024-01-03T02:30:00Z,
14.64,15.372,2024-01-03T02:30:00Z,2024-01-03T03:00:00Z,
15.54,16.317,2024-01-03T03:00:00Z,2024-01-03T03:30:00Z,
15.08,15.834,2024-01-03T03:30:00Z,2024-01-03T04:00:00Z,
13.96,14.658,2024-01-03T04:00:00Z,2024-01-03T04:30:00Z,
13.86,14.553,2024-01-03T04:30:00Z,2024-01-03T05:00:00Z,
15.41,16.1805,2024-01-03T05:00:00Z,2024-01-03T05:30:00Z,
15.75,16.5375,2024-01-03T05:30:00Z,2024-01-03T06:00:00Z,
15.96,16.758,2024-01-03T06:00:00Z,2024-01-03T06:30:00Z,
15.25,16.0125,2024-01-03T06:30:00Z,2024-01-03T07:00:00Z,
16.13,16.9365,2024-01-03T07:00:00Z,2024-01-03T07:30:00Z,
15.75,16.5375,2024-01-03T07:30:00Z,2024-01-03T08:00:00Z,
15.97,16.7685,2024-01-03T08:00:00Z,2024-01-03T08:30:00Z,
15.96,16.758,2024-01-03T08:30:00Z,2024-01-03T09:00:00Z,
16.23,17.0415,2024-01-03T09:00:00Z,2024-01-03T09:30:00Z,
16.13,16.9365,2024-01-03T09:30:00Z,2024-01-03T10:00:00Z,
16.38,17.199,2024-01-03T10:00:00Z,2024-01-03T10:30:00Z,
15.92,16.716,2024-01-03T10:30:00Z,2024-01-03T11:00:00Z,
16.38,17.199,2024-01-03T11:00:00Z,2024-01-03T11:30:00Z,
16.8,17.64,2024-01-03T11:30:00Z,2024-01-03T12:00:00Z,
16.78,17.619,2024-01-03T12:00:00Z,2024-01-03T12:30:00Z,
16.73,17.5665,2024-01-03T12:30:00Z,2024-01-03T13:00:00Z,
17.64,18.522,2024-01-03T13:00:00Z,2024-01-03T13:30:00Z,
15.54,16.317,2024-01-03T13:30:00Z,2024-01-03T14:00:00Z,
15.75,16.5375,2024-01-03T14:00:00Z,2024-01-03T14:30:00Z,
16.38,17.199,2024-01-03T14:30:00Z,2024-01-03T15:00:00Z,
15.12,15.876,2024-01-03T15:00:00Z,2024-01-03T15:30:00Z,
18.27,19.1835,2024-01-03T15:30:00Z,2024-01-03T16:00:00Z,
30.81,32.3505,2024-01-03T16:00:00Z,2024-01-03T16:30:00Z,
35.18,36.939,2024-01-03T16:30:00Z,2024-01-03T17:00:00Z,
32.72,34.356,2024-01-03T17:00:00Z,2024-01-03T17:30:00Z,
33.08,34.734,2024-01-03T17:30:00Z,2024-01-03T18:00:00Z,
31.48,33.054,2024-01-03T18:00:00Z,2024-01-03T18:30:00Z,
30.12,31.626,2024-01-03T18:30:00Z,2024-01-03T19:00:00Z,
17.81,18.7005,2024-01-03T19:00:00Z,2024-01-03T19:30:00Z,
16.48,17.304,2024-01-03T19:30:00Z,2024-01-03T20:00:00Z,
15.96,16.758,2024-01-03T20:00:00Z,2024-01-03T20:30:00Z,
15.69,16.4745,2024-01-03T20:30:00Z,2024-01-03T21:00:00Z,
16.04,16.842,2024-01-03T21:00:00Z,2024-01-03T21:30:00Z,
15.97,16.7685,2024-01-03T21:30:00Z,2024-01-03T22:00:00Z,
15.98,16.779,2024-01-03T22:00:00Z,2024-01-03T22:30:00Z,
14.26,14.973,2024-01-03T22:30:00Z,2024-01-03T23:00:00Z,
14.68,15.414,2024-01-03T23:00:00Z,2024-01-03T23:30:00Z,
14.51,15.2355,2024-01-03T23:30:00Z,2024-01-04T00:00:00Z,
14.15,14.8575,2024-01-04T00:00:00Z,2024-01-04T00:30:00Z,
15.79,16.5795,2024-01-04T00:30:00Z,2024-01-04T01:00:00Z,
16.17,16.9785,2024-01-04T01:00:00Z,2024-01-04T01:30:00Z,
14.2,14.91,2024-01-04T01:30:00Z,2024-01-04T02:00:00Z,
14.55,15.2775,2024-01-04T02:00:00Z,2024-01-04T02:30:00Z,
13.88,14.574,2024-01-04T02:30:00Z,2024-01-04T03:00:00Z,
14.15,14.8575,2024-01-04T03:00:00Z,2024-01-04T03:30:00Z,
13.19,13.8495,2024-01-04T03:30:00Z,2024-01-04T04:00:00Z,
14.15,14.8575,2024-01-04T04:00:00Z,2024-01-04T04:30:00Z,
13.15,13.8075,2024-01-04T04:30:00Z,2024-01-04T05:00:00Z,
14.15,14.8575,2024-01-04T05:00:00Z,2024-01-04T05:30:00Z,
14.85,15.5925,2024-01-04T05:30:00Z,2024-01-04T06:00:00Z,
16.48,17.304,2024-01-04T06:00:00Z,2024-01-04T06:30:00Z,
15.46,16.233,2024-01-04T06:30:00Z,2024-01-04T07:00:00Z,
16.17,16.9785,2024-01-04T07:00:00Z,2024-01-04T07:30:00Z,
16.8,17.64,2024-01-04T07:30:00Z,2024-01-04T08:00:00Z,
16.7,17.535,2024-01-04T08:00:00Z,2024-01-04T08:30:00Z,
19.11,20.0655,2024-01-04T08:30:00Z,2024-01-04T09:00:00Z,
19.11,20.0655,2024-01-04T09:00:00Z,2024-01-04T09:30:00Z,
19.74,20.727,2024-01-04T09:30:00Z,2024-01-04T10:00:00Z,
18.48,19.404,2024-01-04T10:00:00Z,2024-01-04T10:30:00Z,
19.09,20.0445,2024-01-04T10:30:00Z,2024-01-04T11:00:00Z,
16.23,17.0415,2024-01-04T11:00:00Z,2024-01-04T11:30:00Z,
16.88,17.724,2024-01-04T11:30:00Z,2024-01-04T12:00:00Z,
16.8,17.64,2024-01-04T12:00:00Z,2024-01-04T12:30:00Z,
16.74,17.577,2024-01-04T12:30:00Z,2024-01-04T13:00:00Z,
18.56,19.488,2024-01-04T13:00:00Z,2024-01-04T13:30:00Z,
17.22,18.081,2024-01-04T13:30:00Z,2024-01-04T14:00:00Z,
19.45,20.4225,2024-01-04T14:00:00Z,2024-01-04T14:30:00Z,
19.49,20.4645,2024-01-04T14:30:00Z,2024-01-04T15:00:00Z,
17.85,18.7425,2024-01-04T15:00:00Z,2024-01-04T15:30:00Z,
21.04,22.092,2024-01-04T15:30:00Z,2024-01-04T16:00:00Z,
34.42,36.141,2024-01-04T16:00:00Z,2024-01-04T16:30:00Z,
38.2,40.11,2024-01-04T16:30:00Z,2024-01-04T17:00:00Z,
35.85,37.6425,2024-01-04T17:00:00Z,2024-01-04T17:30:00Z,
36.5,38.325,2024-01-04T17:30:00Z,2024-01-04T18:00:00Z,
35.24,37.002,2024-01-04T18:00:00Z,2024-01-04T18:30:00Z,
33.16,34.818,2024-01-04T18:30:00Z,2024-01-04T19:00:00Z,
22.26,23.373,2024-01-04T19:00:00Z,2024-01-04T19:30:00Z,
17.01,17.8605,2024-01-04T19:30:00Z,2024-01-04T20:00:00Z,
20.16,21.168,2024-01-04T20:00:00Z,2024-01-04T20:30:00Z,
17.14,17.997,2024-01-04T20:30:00Z,2024-01-04T21:00:00Z,
19.0,19.95,2024-01-04T21:00:00Z,2024-01-04T21:30:00Z,
16.76,17.598,2024-01-04T21:30:00Z,2024-01-04T22:00:00Z,
15.46,16.233,2024-01-04T22:00:00Z,2024-01-04T22:30:00Z,
13.44,14.112,2024-01-04T22:30:00Z,2024-01-04T23:00:00Z,
15.54,16.317,2024-01-04T23:00:00Z,2024-01-04T23:30:00Z,
16.86,17.703,2024-01-04T23:30:00Z,2024-01-05T00:00:00Z,
16.15,16.9575,2024-01-05T00:00:00Z,2024-01-05T00:30:00Z,
19.11,20.0655,2024-01-05T00:30:00Z,2024-01-05T01:00:00Z,
17.03,17.8815,2024-01-05T01:00:00Z,2024-01-05T01:30:00Z,
16.28,17.094,2024-01-05T01:30:00Z,2024-01-05T02:00:00Z,
15.75,16.5375,2024-01-05T02:00:00Z,2024-01-05T02:30:00Z,
15.75,16.5375,2024-01-05T02:30:00Z,2024-01-05T03:00:00Z,
15.33,16.0965,2024-01-05T03:00:00Z,2024-01-05T03:30:00Z,
14.76,15.498,2024-01-05T03:30:00Z,2024-01-05T04:00:00Z,
15.22,15.981,2024-01-05T04:00:00Z,2024-01-05T04:30:00Z,
14.78,15.519,2024-01-05T04:30:00Z,2024-01-05T05:00:00Z,
15.64,16.422,2024-01-05T05:00:00Z,2024-01-05T05:30:00Z,
15.02,15.771,2024-01-05T05:30:00Z,2024-01-05T06:00:00Z,
17.58,18.459,2024-01-05T06:00:00Z,2024-01-05T06:30:00Z,
15.77,16.5585,2024-01-05T06:30:00Z,2024-01-05T07:00:00Z,
15.36,16.128,2024-01-05T07:00:00Z,2024-01-05T07:30:00Z,
19.47,20.4435,2024-01-05T07:30:00Z,2024-01-05T08:00:00Z,
18.33,19.2465,2024-01-05T08:00:00Z,2024-01-05T08:30:00Z,
20.96,22.008,2024-01-05T08:30:00Z,2024-01-05T09:00:00Z,
19.74,20.727,2024-01-05T09:00:00Z,2024-01-05T09:30:00Z,
18.9,19.845,2024-01-05T09:30:00Z,2024-01-05T10:00:00Z,
19.82,20.811,2024-01-05T10:00:00Z,2024-01-05T10:30:00Z,
18.68,19.614,2024-01-05T10:30:00Z,2024-01-05T11:00:00Z,
17.43,18.3015,2024-01-05T11:00:00Z,2024-01-05T11:30:00Z,
17.43,18.3015,2024-01-05T11:30:00Z,2024-01-05T12:00:00Z,
17.3,18.165,2024-01-05T12:00:00Z,2024-01-05T12:30:00Z,
16.99,17.8395,2024-01-05T12:30:00Z,2024-01-05T13:00:00Z,
17.47,18.3435,2024-01-05T13:00:00Z,2024-01-05T13:30:00Z,
17.43,18.3015,2024-01-05T13:30:00Z,2024-01-05T14:00:00Z,
18.86,19.803,2024-01-05T14:00:00Z,2024-01-05T14:30:00Z,
18.29,19.2045,2024-01-05T14:30:00Z,2024-01-05T15:00:00Z,
18.06,18.963,2024-01-05T15:00:00Z,2024-01-05T15:30:00Z,
19.92,20.916,2024-01-05T15:30:00Z,2024-01-05T16:00:00Z,
29.95,31.4475,2024-01-05T16:00:00Z,2024-01-05T16:30:00Z,
35.05,36.8025,2024-01-05T16:30:00Z,2024-01-05T17:00:00Z,
33.33,34.9965,2024-01-05T17:00:00Z,2024-01-05T17:30:00Z,
34.46,36.183,2024-01-05T17:30:00Z,2024-01-05T18:00:00Z,
34.0,35.7,2024-01-05T18:00:00Z,2024-01-05T18:30:00Z,
32.05,33.6525,2024-01-05T18:30:00Z,2024-01-05T19:00:00Z,
19.93,20.9265,2024-01-05T19:00:00Z,2024-01-05T19:30:00Z,
17.45,18.3225,2024-01-05T19:30:00Z,2024-01-05T20:00:00Z,
17.7,18.585,2024-01-05T20:00:00Z,2024-01-05T20:30:00Z,
17.74,18.627,2024-01-05T20:30:00Z,2024-01-05T21:00:00Z,
17.85,18.7425,2024-01-05T21:00:00Z,2024-01-05T21:30:00Z,
17.85,18.7425,2024-01-05T21:30:00Z,2024-01-05T22:00:00Z,
17.85,18.7425,2024-01-05T22:00:00Z,2024-01-05T22:30:00Z,
14.87,15.6135,2024-01-05T22:30:00Z,2024-01-05T23:00:00Z,
15.75,16.5375,2024-01-05T23:00:00Z,2024-01-05T23:30:00Z,
17.43,18.3015,2024-01-05T23:30:00Z,2024-01-06T00:00:00Z,
17.96,18.858,2024-01-06T00:00:00Z,2024-01-06T00:30:00Z,
22.76,23.898,2024-01-06T00:30:00Z,2024-01-06T01:00:00Z,
19.95,20.9475,2024-01-06T01:00:00Z,2024-01-06T01:30:00Z,
16.59,17.4195,2024-01-06T01:30:00Z,2024-01-06T02:00:00Z,
16.25,17.0625,2024-01-06T02:00:00Z,2024-01-06T02:30:00Z,
16.19,16.9995,2024-01-06T02:30:00Z,2024-01-06T03:00:00Z,
15.46,16.233,2024-01-06T03:00:00Z,2024-01-06T03:30:00Z,
15.46,16.233,2024-01-06T03:30:00Z,2024-01-06T04:00:00Z,
15.46,16.233,2024-01-06T04:00:00Z,2024-01-06T04:30:00Z,
15.46,16.233,2024-01-06T04:30:00Z,2024-01-06T05:00:00Z,
15.46,16.233,2024-01-06T05:00:00Z,2024-01-06T05:30:00Z,
15.39,16.1595,2024-01-06T05:30:00Z,2024-01-06T06:00:00Z,
15.73,16.5165,2024-01-06T06:00:00Z,2024-01-06T06:30:00Z,
15.46,16.233,2024-01-06T06:30:00Z,2024-01-06T07:00:00Z,
16.59,17.4195,2024-01-06T07:00:00Z,2024-01-06T07:30:00Z,
17.81,18.7005,2024-01-06T07:30:00Z,2024-01-06T08:00:00Z,
17.01,17.8605,2024-01-06T08:00:00Z,2024-01-06T08:30:00Z,
17.96,18.858,2024-01-06T08:30:00Z,2024-01-06T09:00:00Z,
16.95,17.7975,2024-01-06T09:00:00Z,2024-01-06T09:30:00Z,
18.77,19.7085,2024-01-06T09:30:00Z,2024-01-06T10:00:00Z,
18.48,19.404,2024-01-06T10:00:00Z,2024-01-06T10:30:00Z,
18.27,19.1835,2024-01-06T10:30:00Z,2024-01-06T11:00:00Z,
18.23,19.1415,2024-01-06T11:00:00Z,2024-01-06T11:30:00Z,
20.16,21.168,2024-01-06T11:30:00Z,2024-01-06T12:00:00Z,
18.4,19.32,2024-01-06T12:00:00Z,2024-01-06T12:30:00Z,
18.56,19.488,2024-01-06T12:30:00Z,2024-01-06T13:00:00Z,
19.74,20.727,2024-01-06T13:00:00Z,2024-01-06T13:30:00Z,
15.56,16.338,2024-01-06T13:30:00Z,2024-01-06T14:00:00Z,
17.22,18.081,2024-01-06T14:00:00Z,2024-01-06T14:30:00Z,
15.96,16.758,2024-01-06T14:30:00Z,2024-01-06T15:00:00Z,
17.43,18.3015,2024-01-06T15:00:00Z,2024-01-06T15:30:00Z,
20.52,21.546,2024-01-06T15:30:00Z,2024-01-06T16:00:00Z,
30.34,31.857,2024-01-06T16:00:00Z,2024-01-06T16:30:00Z,
37.15,39.0075,2024-01-06T16:30:00Z,2024-01-06T17:00:00Z,
35.05,36.8025,2024-01-06T17:00:00Z,2024-01-06T17:30:00Z,
34.84,36.582,2024-01-06T17:30:00Z,2024-01-06T18:00:00Z,
37.15,39.0075,2024-01-06T18:00:00Z,2024-01-06T18:30:00Z,
32.95,34.5975,2024-01-06T18:30:00Z,2024-01-06T19:00:00Z,
21.59,22.6695,2024-01-06T19:00:00Z,2024-01-06T19:30:00Z,
16.84,17.682,2024-01-06T19:30:00Z,2024-01-06T20:00:00Z,
20.79,21.8295,2024-01-06T20:00:00Z,2024-01-06T20:30:00Z,
17.22,18.081,2024-01-06T20:30:00Z,2024-01-06T21:00:00Z,
20.35,21.3675,2024-01-06T21:00:00Z,2024-01-06T21:30:00Z,
17.43,18.3015,2024-01-06T21:30:00Z,2024-01-06T22:00:00Z,
19.95,20.9475,2024-01-06T22:00:00Z,2024-01-06T22:30:00Z,
15.96,16.758,2024-01-06T22:30:00Z,2024-01-06T23:00:00Z,
15.12,15.876,2024-01-06T23:00:00Z,2024-01-06T23:30:00Z,
17.66,18.543,2024-01-06T23:30:00Z,2024-01-07T00:00:00Z,
14.8,15.54,2024-01-07T00:00:00Z,2024-01-07T00:30:00Z,
18.9,19.845,2024-01-07T00:30:00Z,2024-01-07T01:00:00Z,
18.31,19.2255,2024-01-07T01:00:00Z,2024-01-07T01:30:00Z,
16.8,17.64,2024-01-07T01:30:00Z,2024-01-07T02:00:00Z,
15.62,16.401,2024-01-07T02:00:00Z,2024-01-07T02:30:00Z,
14.7,15.435,2024-01-07T02:30:00Z,2024-01-07T03:00:00Z,
15.35,16.1175,2024-01-07T03:00:00Z,2024-01-07T03:30:00Z,
14.7,15.435,2024-01-07T03:30:00Z,2024-01-07T04:00:00Z,
14.8,15.54,2024-01-07T04:00:00Z,2024-01-07T04:30:00Z,
13.42,14.091,2024-01-07T04:30:00Z,2024-01-07T05:00:00Z,
15.41,16.1805,2024-01-07T05:00:00Z,2024-01-07T05:30:00Z,
14.68,15.414,2024-01-07T05:30:00Z,2024-01-07T06:00:00Z,
15.96,16.758,2024-01-07T06:00:00Z,2024-01-07T06:30:00Z,
15.41,16.1805,2024-01-07T06:30:00Z,2024-01-07T07:00:00Z,
17.03,17.8815,2024-01-07T07:00:00Z,2024-01-07T07:30:00Z,
17.3,18.165,2024-01-07T07:30:00Z,2024-01-07T08:00:00Z,
17.85,18.7425,2024-01-07T08:00:00Z,2024-01-07T08:30:00Z,
18.9,19.845,2024-01-07T08:30:00Z,2024-01-07T09:00:00Z,
16.76,17.598,2024-01-07T09:00:00Z,2024-01-07T09:30:00Z,
17.64,18.522,2024-01-07T09:30:00Z,2024-01-07T10:00:00Z,
17.81,18.7005,2024-01-07T10:00:00Z,2024-01-07T10:30:00Z,
17.22,18.081,2024-01-07T10:30:00Z,2024-01-07T11:00:00Z,
16.13,16.9365,2024-01-07T11:00:00Z,2024-01-07T11:30:00Z,
17.87,18.7635,2024-01-07T11:30:00Z,2024-01-07T12:00:00Z,
19.82,20.811,2024-01-07T12:00:00Z,2024-01-07T12:30:00Z,
19.42,20.391,2024-01-07T12:30:00Z,2024-01-07T13:00:00Z,
21.84,22.932,2024-01-07T13:00:00Z,2024-01-07T13:30:00Z,
19.32,20.286,2024-01-07T13:30:00Z,2024-01-07T14:00:00Z,
19.74,20.727,2024-01-07T14:00:00Z,2024-01-07T14:30:00Z,
16.38,17.199,2024-01-07T14:30:00Z,2024-01-07T15:00:00Z,
18.54,19.467,2024-01-07T15:00:00Z,2024-01-07T15:30:00Z,
20.48,21.504,2024-01-07T15:30:00Z,2024-01-07T16:00:00Z,
34.0,35.7,2024-01-07T16:00:00Z,2024-01-07T16:30:00Z,
35.68,37.464,2024-01-07T16:30:00Z,2024-01-07T17:00:00Z,
35.51,37.2855,2024-01-07T17:00:00Z,2024-01-07T17:30:00Z,
34.78,36.519,2024-01-07T17:30:00Z,2024-01-07T18:00:00Z,
34.48,36.204,2024-01-07T18:00:00Z,2024-01-07T18:30:00Z,
33.37,35.0385,2024-01-07T18:30:00Z,2024-01-07T19:00:00Z,
20.92,21.966,2024-01-07T19:00:00Z,2024-01-07T19:30:00Z,
17.85,18.7425,2024-01-07T19:30:00Z,2024-01-07T20:00:00Z,
17.81,18.7005,2024-01-07T20:00:00Z,2024-01-07T20:30:00Z,
18.71,19.6455,2024-01-07T20:30:00Z,2024-01-07T21:00:00Z,
19.22,20.181,2024-01-07T21:00:00Z,2024-01-07T21:30:00Z,
16.82,17.661,2024-01-07T21:30:00Z,2024-01-07T22:00:00Z,
16.19,16.9995,2024-01-07T22:00:00Z,2024-01-07T22:30:00Z,
15.77,16.5585,2024-01-07T22:30:00Z,2024-01-07T23:00:00Z,
17.64,18.522,2024-01-07T23:00:00Z,2024-01-07T23:30:00Z,
16.59,17.4195,2024-01-07T23:30:00Z,2024-01-08T00:00:00Z,
15.2,15.96,2024-01-08T00:00:00Z,2024-01-08T00:30:00Z,
18.96,19.908,2024-01-08T00:30:00Z,2024-01-08T01:00:00Z,
16.28,17.094,2024-01-08T01:00:00Z,2024-01-08T01:30:00Z,
17.14,17.997,2024-01-08T01:30:00Z,2024-01-08T02:00:00Z,
17.07,17.9235,2024-01-08T02:00:00Z,2024-01-08T02:30:00Z,
15.75,16.5375,2024-01-08T02:30:00Z,2024-01-08T03:00:00Z,
16.17,16.9785,2024-01-08T03:00:00Z,2024-01-08T03:30:00Z,
15.27,16.0335,2024-01-08T03:30:00Z,2024-01-08T04:00:00Z,
16.82,17.661,2024-01-08T04:00:00Z,2024-01-08T04:30:00Z,
14.87,15.6135,2024-01-08T04:30:00Z,2024-01-08T05:00:00Z,
16.8,17.64,2024-01-08T05:00:00Z,2024-01-08T05:30:00Z,
15.12,15.876,2024-01-08T05:30:00Z,2024-01-08T06:00:00Z,
18.98,19.929,2024-01-08T06:00:00Z,2024-01-08T06:30:00Z,
17.45,18.3225,2024-01-08T06:30:00Z,2024-01-08T07:00:00Z,
18.14,19.047,2024-01-08T07:00:00Z,2024-01-08T07:30:00Z,
21.94,23.037,2024-01-08T07:30:00Z,2024-01-08T08:00:00Z,
19.32,20.286,2024-01-08T08:00:00Z,2024-01-08T08:30:00Z,
