from,to,intensity_forecast,intensity_actual,intensity_index
2024-01-02T13:30Z,2024-01-02T14:00Z,158,153,moderate
2024-01-02T14:00Z,2024-01-02T14:30Z,155,150,moderate
2024-01-02T14:30Z,2024-01-02T15:00Z,152,145,moderate
2024-01-02T15:00Z,2024-01-02T15:30Z,154,144,moderate
2024-01-02T15:30Z,2024-01-02T16:00Z,158,143,moderate
2024-01-02T16:00Z,2024-01-02T16:30Z,146,140,moderate
2024-01-02T16:30Z,2024-01-02T17:00Z,145,138,moderate
2024-01-02T17:00Z,2024-01-02T17:30Z,142,136,moderate
2024-01-02T17:30Z,2024-01-02T18:00Z,139,130,moderate
2024-01-02T18:00Z,2024-01-02T18:30Z,133,127,moderate
2024-01-02T18:30Z,2024-01-02T19:00Z,122,124,moderate
2024-01-02T19:00Z,2024-01-02T19:30Z,110,118,moderate
2024-01-02T19:30Z,2024-01-02T20:00Z,101,108,low
2024-01-02T20:00Z,2024-01-02T20:30Z,105,100,low
2024-01-02T20:30Z,2024-01-02T21:00Z,96,92,low
2024-01-02T21:00Z,2024-01-02T21:30Z,91,82,low
2024-01-02T21:30Z,2024-01-02T22:00Z,89,70,low
2024-01-02T22:00Z,2024-01-02T22:30Z,86,66,low
2024-01-02T22:30Z,2024-01-02T23:00Z,71,70,low
2024-01-02T23:00Z,2024-01-02T23:30Z,65,66,low
2024-01-02T23:30Z,2024-01-03T00:00Z,66,66,low
2024-01-03T00:00Z,2024-01-03T00:30Z,65,67,low
2024-01-03T00:30Z,2024-01-03T01:00Z,66,65,low
2024-01-03T01:00Z,2024-01-03T01:30Z,64,63,low
2024-01-03T01:30Z,2024-01-03T02:00Z,66,67,low
2024-01-03T02:00Z,2024-01-03T02:30Z,67,71,low
2024-01-03T02:30Z,2024-01-03T03:00Z,69,76,low
2024-01-03T03:00Z,2024-01-03T03:30Z,76,73,low
2024-01-03T03:30Z,2024-01-03T04:00Z,80,77,low
2024-01-03T04:00Z,2024-01-03T04:30Z,74,78,low
2024-01-03T04:30Z,2024-01-03T05:00Z,75,78,low
2024-01-03T05:00Z,2024-01-03T05:30Z,79,81,low
2024-01-03T05:30Z,2024-01-03T06:00Z,78,87,low
2024-01-03T06:00Z,2024-01-03T06:30Z,68,105,low
2024-01-03T06:30Z,2024-01-03T07:00Z,105,115,moderate
2024-01-03T07:00Z,2024-01-03T07:30Z,135,131,moderate
2024-01-03T07:30Z,2024-01-03T08:00Z,136,138,moderate
2024-01-03T08:00Z,2024-01-03T08:30Z,118,146,moderate
2024-01-03T08:30Z,2024-01-03T09:00Z,147,149,moderate
2024-01-03T09:00Z,2024-01-03T09:30Z,150,149,moderate
2024-01-03T09:30Z,2024-01-03T10:00Z,147,150,moderate
2024-01-03T10:00Z,2024-01-03T10:30Z,153,153,moderate
2024-01-03T10:30Z,2024-01-03T11:00Z,149,155,moderate
2024-01-03T11:00Z,2024-01-03T11:30Z,152,157,moderate
2024-01-03T11:30Z,2024-01-03T12:00Z,157,160,moderate
2024-01-03T12:00Z,2024-01-03T12:30Z,155,163,moderate
2024-01-03T12:30Z,2024-01-03T13:00Z,155,166,moderate
2024-01-03T13:00Z,2024-01-03T13:30Z,159,168,moderate
2024-01-03T13:30Z,2024-01-03T14:00Z,166,167,moderate
2024-01-03T14:00Z,2024-01-03T14:30Z,166,174,moderate
2024-01-03T14:30Z,2024-01-03T15:00Z,173,173,moderate
2024-01-03T15:00Z,2024-01-03T15:30Z,176,170,moderate
2024-01-03T15:30Z,2024-01-03T16:00Z,177,170,moderate
2024-01-03T16:00Z,2024-01-03T16:30Z,173,174,moderate
2024-01-03T16:30Z,2024-01-03T17:00Z,172,173,moderate
2024-01-03T17:00Z,2024-01-03T17:30Z,174,174,moderate
2024-01-03T17:30Z,2024-01-03T18:00Z,174,174,moderate
2024-01-03T18:00Z,2024-01-03T18:30Z,177,176,moderate
2024-01-03T18:30Z,2024-01-03T19:00Z,179,174,moderate
2024-01-03T19:00Z,2024-01-03T19:30Z,180,168,moderate
2024-01-03T19:30Z,2024-01-03T20:00Z,161,162,moderate
2024-01-03T20:00Z,2024-01-03T20:30Z,150,154,moderate
2024-01-03T20:30Z,2024-01-03T21:00Z,146,143,moderate
2024-01-03T21:00Z,2024-01-03T21:30Z,139,137,moderate
2024-01-03T21:30Z,2024-01-03T22:00Z,132,127,moderate
2024-01-03T22:00Z,2024-01-03T22:30Z,103,119,moderate
2024-01-03T22:30Z,2024-01-03T23:00Z,103,117,moderate
2024-01-03T23:00Z,2024-01-03T23:30Z,104,117,moderate
2024-01-03T23:30Z,2024-01-04T00:00Z,96,114,moderate
2024-01-04T00:00Z,2024-01-04T00:30Z,94,111,moderate
2024-01-04T00:30Z,2024-01-04T01:00Z,107,101,low
2024-01-04T01:00Z,2024-01-04T01:30Z,104,99,low
2024-01-04T01:30Z,2024-01-04T02:00Z,97,98,low
2024-01-04T02:00Z,2024-01-04T02:30Z,97,89,low
2024-01-04T02:30Z,2024-01-04T03:00Z,89,88,low
2024-01-04T03:00Z,2024-01-04T03:30Z,85,91,low
2024-01-04T03:30Z,2024-01-04T04:00Z,81,95,low
2024-01-04T04:00Z,2024-01-04T04:30Z,90,98,low
2024-01-04T04:30Z,2024-01-04T05:00Z,94,96,low
2024-01-04T05:00Z,2024-01-04T05:30Z,101,98,low
2024-01-04T05:30Z,2024-01-04T06:00Z,99,117,moderate
2024-01-04T06:00Z,2024-01-04T06:30Z,115,144,moderate
2024-01-04T06:30Z,2024-01-04T07:00Z,149,189,moderate
2024-01-04T07:00Z,2024-01-04T07:30Z,158,205,high
2024-01-04T07:30Z,2024-01-04T08:00Z,192,207,high
2024-01-04T08:00Z,2024-01-04T08:30Z,168,207,high
2024-01-04T08:30Z,2024-01-04T09:00Z,206,203,high
2024-01-04T09:00Z,2024-01-04T09:30Z,206,204,high
2024-01-04T09:30Z,2024-01-04T10:00Z,209,202,high
2024-01-04T10:00Z,2024-01-04T10:30Z,208,201,high
2024-01-04T10:30Z,2024-01-04T11:00Z,201,199,high
2024-01-04T11:00Z,2024-01-04T11:30Z,204,206,high
2024-01-04T11:30Z,2024-01-04T12:00Z,208,211,high
2024-01-04T12:00Z,2024-01-04T12:30Z,210,214,high
2024-01-04T12:30Z,2024-01-04T13:00Z,212,222,high
2024-01-04T13:00Z,2024-01-04T13:30Z,221,228,high
2024-01-04T13:30Z,2024-01-04T14:00Z,228,236,high
2024-01-04T14:00Z,2024-01-04T14:30Z,234,235,high
2024-01-04T14:30Z,2024-01-04T15:00Z,238,236,high
2024-01-04T15:00Z,2024-01-04T15:30Z,234,237,high
2024-01-04T15:30Z,2024-01-04T16:00Z,235,239,high
2024-01-04T16:00Z,2024-01-04T16:30Z,237,237,high
2024-01-04T16:30Z,2024-01-04T17:00Z,242,240,high
2024-01-04T17:00Z,2024-01-04T17:30Z,235,238,high
2024-01-04T17:30Z,2024-01-04T18:00Z,241,237,high
2024-01-04T18:00Z,2024-01-04T18:30Z,243,234,high
2024-01-04T18:30Z,2024-01-04T19:00Z,245,233,high
2024-01-04T19:00Z,2024-01-04T19:30Z,240,226,high
2024-01-04T19:30Z,2024-01-04T20:00Z,240,220,high
2024-01-04T20:00Z,2024-01-04T20:30Z,232,207,high
2024-01-04T20:30Z,2024-01-04T21:00Z,224,197,high
2024-01-04T21:00Z,2024-01-04T21:30Z,208,187,moderate
2024-01-04T21:30Z,2024-01-04T22:00Z,200,184,moderate
2024-01-04T22:00Z,2024-01-04T22:30Z,186,172,moderate
2024-01-04T22:30Z,2024-01-04T23:00Z,185,152,moderate
2024-01-04T23:00Z,2024-01-04T23:30Z,154,146,moderate
2024-01-04T23:30Z,2024-01-05T00:00Z,145,141,moderate
2024-01-05T00:00Z,2024-01-05T00:30Z,153,142,moderate
2024-01-05T00:30Z,2024-01-05T01:00Z,141,143,moderate
2024-01-05T01:00Z,2024-01-05T01:30Z,147,140,moderate
2024-01-05T01:30Z,2024-01-05T02:00Z,150,147,moderate
2024-01-05T02:00Z,2024-01-05T02:30Z,148,138,moderate
2024-01-05T02:30Z,2024-01-05T03:00Z,154,135,moderate
2024-01-05T03:00Z,2024-01-05T03:30Z,153,131,moderate
2024-01-05T03:30Z,2024-01-05T04:00Z,151,131,moderate
2024-01-05T04:00Z,2024-01-05T04:30Z,141,128,moderate
2024-01-05T04:30Z,2024-01-05T05:00Z,135,124,moderate
2024-01-05T05:00Z,2024-01-05T05:30Z,135,126,moderate
2024-01-05T05:30Z,2024-01-05T06:00Z,127,150,moderate
2024-01-05T06:00Z,2024-01-05T06:30Z,136,169,moderate
2024-01-05T06:30Z,2024-01-05T07:00Z,162,195,high
2024-01-05T07:00Z,2024-01-05T07:30Z,171,201,high
2024-01-05T07:30Z,2024-01-05T08:00Z,176,193,high
2024-01-05T08:00Z,2024-01-05T08:30Z,201,195,high
2024-01-05T08:30Z,2024-01-05T09:00Z,198,195,high
2024-01-05T09:00Z,2024-01-05T09:30Z,192,197,high
2024-01-05T09:30Z,2024-01-05T10:00Z,195,196,high
2024-01-05T10:00Z,2024-01-05T10:30Z,198,193,high
2024-01-05T10:30Z,2024-01-05T11:00Z,200,188,moderate
2024-01-05T11:00Z,2024-01-05T11:30Z,195,184,moderate
2024-01-05T11:30Z,2024-01-05T12:00Z,196,182,moderate
2024-01-05T12:00Z,2024-01-05T12:30Z,188,179,moderate
2024-01-05T12:30Z,2024-01-05T13:00Z,185,182,moderate
2024-01-05T13:00Z,2024-01-05T13:30Z,182,183,moderate
2024-01-05T13:30Z,2024-01-05T14:00Z,187,185,moderate
2024-01-05T14:00Z,2024-01-05T14:30Z,187,188,moderate
2024-01-05T14:30Z,2024-01-05T15:00Z,190,188,moderate
2024-01-05T15:00Z,2024-01-05T15:30Z,190,191,high
2024-01-05T15:30Z,2024-01-05T16:00Z,190,188,moderate
2024-01-05T16:00Z,2024-01-05T16:30Z,195,188,moderate
2024-01-05T16:30Z,2024-01-05T17:00Z,190,190,high
2024-01-05T17:00Z,2024-01-05T17:30Z,190,189,moderate
2024-01-05T17:30Z,2024-01-05T18:00Z,192,189,moderate
2024-01-05T18:00Z,2024-01-05T18:30Z,192,190,high
2024-01-05T18:30Z,2024-01-05T19:00Z,193,192,high
2024-01-05T19:00Z,2024-01-05T19:30Z,194,188,moderate
2024-01-05T19:30Z,2024-01-05T20:00Z,191,185,moderate
2024-01-05T20:00Z,2024-01-05T20:30Z,189,182,moderate
2024-01-05T20:30Z,2024-01-05T21:00Z,187,171,moderate
2024-01-05T21:00Z,2024-01-05T21:30Z,184,166,moderate
2024-01-05T21:30Z,2024-01-05T22:00Z,177,165,moderate
2024-01-05T22:00Z,2024-01-05T22:30Z,168,161,moderate
2024-01-05T22:30Z,2024-01-05T23:00Z,171,142,moderate
2024-01-05T23:00Z,2024-01-05T23:30Z,137,129,moderate
2024-01-05T23:30Z,2024-01-06T00:00Z,144,123,moderate
2024-01-06T00:00Z,2024-01-06T00:30Z,137,124,moderate
2024-01-06T00:30Z,2024-01-06T01:00Z,130,122,moderate
2024-01-06T01:00Z,2024-01-06T01:30Z,127,117,moderate
2024-01-06T01:30Z,2024-01-06T02:00Z,127,116,moderate
2024-01-06T02:00Z,2024-01-06T02:30Z,119,114,moderate
2024-01-06T02:30Z,2024-01-06T03:00Z,123,116,moderate
2024-01-06T03:00Z,2024-01-06T03:30Z,112,115,moderate
2024-01-06T03:30Z,2024-01-06T04:00Z,114,117,moderate
2024-01-06T04:00Z,2024-01-06T04:30Z,117,120,moderate
2024-01-06T04:30Z,2024-01-06T05:00Z,125,129,moderate
2024-01-06T05:00Z,2024-01-06T05:30Z,128,132,moderate
2024-01-06T05:30Z,2024-01-06T06:00Z,137,136,moderate
2024-01-06T06:00Z,2024-01-06T06:30Z,136,142,moderate
2024-01-06T06:30Z,2024-01-06T07:00Z,152,165,moderate
2024-01-06T07:00Z,2024-01-06T07:30Z,161,177,moderate
2024-01-06T07:30Z,2024-01-06T08:00Z,176,186,moderate
2024-01-06T08:00Z,2024-01-06T08:30Z,181,195,high
2024-01-06T08:30Z,2024-01-06T09:00Z,191,199,high
2024-01-06T09:00Z,2024-01-06T09:30Z,196,199,high
2024-01-06T09:30Z,2024-01-06T10:00Z,204,196,high
2024-01-06T10:00Z,2024-01-06T10:30Z,199,196,high
2024-01-06T10:30Z,2024-01-06T11:00Z,198,192,high
2024-01-06T11:00Z,2024-01-06T11:30Z,195,191,high
2024-01-06T11:30Z,2024-01-06T12:00Z,196,191,high
2024-01-06T12:00Z,2024-01-06T12:30Z,192,189,moderate
2024-01-06T12:30Z,2024-01-06T13:00Z,189,188,moderate
2024-01-06T13:00Z,2024-01-06T13:30Z,194,195,high
2024-01-06T13:30Z,2024-01-06T14:00Z,196,202,high
2024-01-06T14:00Z,2024-01-06T14:30Z,198,206,high
2024-01-06T14:30Z,2024-01-06T15:00Z,204,206,high
2024-01-06T15:00Z,2024-01-06T15:30Z,209,210,high
2024-01-06T15:30Z,2024-01-06T16:00Z,215,210,high
2024-01-06T16:00Z,2024-01-06T16:30Z,219,213,high
2024-01-06T16:30Z,2024-01-06T17:00Z,221,211,high
2024-01-06T17:00Z,2024-01-06T17:30Z,216,208,high
2024-01-06T17:30Z,2024-01-06T18:00Z,214,210,high
2024-01-06T18:00Z,2024-01-06T18:30Z,212,213,high
2024-01-06T18:30Z,2024-01-06T19:00Z,211,213,high
2024-01-06T19:00Z,2024-01-06T19:30Z,210,213,high
2024-01-06T19:30Z,2024-01-06T20:00Z,219,212,high
2024-01-06T20:00Z,2024-01-06T20:30Z,211,208,high
2024-01-06T20:30Z,2024-01-06T21:00Z,214,201,high
2024-01-06T21:00Z,2024-01-06T21:30Z,208,197,high
2024-01-06T21:30Z,2024-01-06T22:00Z,204,198,high
2024-01-06T22:00Z,2024-01-06T22:30Z,207,190,high
2024-01-06T22:30Z,2024-01-06T23:00Z,194,173,moderate
2024-01-06T23:00Z,2024-01-06T23:30Z,172,161,moderate
2024-01-06T23:30Z,2024-01-07T00:00Z,176,155,moderate
2024-01-07T00:00Z,2024-01-07T00:30Z,184,162,moderate
2024-01-07T00:30Z,2024-01-07T01:00Z,154,153,moderate
2024-01-07T01:00Z,2024-01-07T01:30Z,160,151,moderate
2024-01-07T01:30Z,2024-01-07T02:00Z,165,148,moderate
2024-01-07T02:00Z,2024-01-07T02:30Z,159,150,moderate
2024-01-07T02:30Z,2024-01-07T03:00Z,157,150,moderate
2024-01-07T03:00Z,2024-01-07T03:30Z,155,144,moderate
2024-01-07T03:30Z,2024-01-07T04:00Z,156,142,moderate
2024-01-07T04:00Z,2024-01-07T04:30Z,150,144,moderate
2024-01-07T04:30Z,2024-01-07T05:00Z,150,146,moderate
2024-01-07T05:00Z,2024-01-07T05:30Z,151,142,moderate
2024-01-07T05:30Z,2024-01-07T06:00Z,155,149,moderate
2024-01-07T06:00Z,2024-01-07T06:30Z,155,155,moderate
2024-01-07T06:30Z,2024-01-07T07:00Z,158,170,moderate
2024-01-07T07:00Z,2024-01-07T07:30Z,161,172,moderate
2024-01-07T07:30Z,2024-01-07T08:00Z,190,181,moderate
2024-01-07T08:00Z,2024-01-07T08:30Z,183,194,high
2024-01-07T08:30Z,2024-01-07T09:00Z,195,204,high
2024-01-07T09:00Z,2024-01-07T09:30Z,197,206,high
2024-01-07T09:30Z,2024-01-07T10:00Z,210,201,high
2024-01-07T10:00Z,2024-01-07T10:30Z,214,204,high
2024-01-07T10:30Z,2024-01-07T11:00Z,205,201,high
2024-01-07T11:00Z,2024-01-07T11:30Z,206,203,high
2024-01-07T11:30Z,2024-01-07T12:00Z,208,204,high
2024-01-07T12:00Z,2024-01-07T12:30Z,209,205,high
2024-01-07T12:30Z,2024-01-07T13:00Z,210,215,high
2024-01-07T13:00Z,2024-01-07T13:30Z,212,214,high
2024-01-07T13:30Z,2024-01-07T14:00Z,222,214,high
2024-01-07T14:00Z,2024-01-07T14:30Z,223,222,high
2024-01-07T14:30Z,2024-01-07T15:00Z,222,230,high
2024-01-07T15:00Z,2024-01-07T15:30Z,230,232,high
2024-01-07T15:30Z,2024-01-07T16:00Z,237,233,high
2024-01-07T16:00Z,2024-01-07T16:30Z,251,234,high
2024-01-07T16:30Z,2024-01-07T17:00Z,249,235,high
2024-01-07T17:00Z,2024-01-07T17:30Z,245,234,high
2024-01-07T17:30Z,2024-01-07T18:00Z,243,231,high
2024-01-07T18:00Z,2024-01-07T18:30Z,245,235,high
2024-01-07T18:30Z,2024-01-07T19:00Z,240,239,high
2024-01-07T19:00Z,2024-01-07T19:30Z,239,237,high
2024-01-07T19:30Z,2024-01-07T20:00Z,240,233,high
2024-01-07T20:00Z,2024-01-07T20:30Z,243,226,high
2024-01-07T20:30Z,2024-01-07T21:00Z,230,226,high
2024-01-07T21:00Z,2024-01-07T21:30Z,226,220,high
2024-01-07T21:30Z,2024-01-07T22:00Z,219,221,high
2024-01-07T22:00Z,2024-01-07T22:30Z,213,214,high
2024-01-07T22:30Z,2024-01-07T23:00Z,214,194,high
2024-01-07T23:00Z,2024-01-07T23:30Z,200,188,moderate
2024-01-07T23:30Z,2024-01-08T00:00Z,180,184,moderate
2024-01-08T00:00Z,2024-01-08T00:30Z,192,187,moderate
2024-01-08T00:30Z,2024-01-08T01:00Z,190,180,moderate
2024-01-08T01:00Z,2024-01-08T01:30Z,185,173,moderate
2024-01-08T01:30Z,2024-01-08T02:00Z,168,171,moderate
2024-01-08T02:00Z,2024-01-08T02:30Z,168,162,moderate
2024-01-08T02:30Z,2024-01-08T03:00Z,157,163,moderate
2024-01-08T03:00Z,2024-01-08T03:30Z,160,162,moderate
2024-01-08T03:30Z,2024-01-08T04:00Z,161,168,moderate
2024-01-08T04:00Z,2024-01-08T04:30Z,157,169,moderate
2024-01-08T04:30Z,2024-01-08T05:00Z,167,193,high
2024-01-08T05:00Z,2024-01-08T05:30Z,168,207,high
2024-01-08T05:30Z,2024-01-08T06:00Z,209,241,high
2024-01-08T06:00Z,2024-01-08T06:30Z,235,253,high
2024-01-08T06:30Z,2024-01-08T07:00Z,244,258,high
2024-01-08T07:00Z,2024-01-08T07:30Z,254,257,high
2024-01-08T07:30Z,2024-01-08T08:00Z,254,255,high
2024-01-08T08:00Z,2024-01-08T08:30Z,254,252,high
2024-01-08T08:30Z,2024-01-08T09:00Z,252,244,high
2024-01-08T09:00Z,2024-01-08T09:30Z,249,243,high
2024-01-08T09:30Z,2024-01-08T10:00Z,240,247,high
2024-01-08T10:00Z,2024-01-08T10:30Z,239,244,high
2024-01-08T10:30Z,2024-01-08T11:00Z,237,243,high
2024-01-08T11:00Z,2024-01-08T11:30Z,241,241,high
2024-01-08T11:30Z,2024-01-08T12:00Z,237,239,high
2024-01-08T12:00Z,2024-01-08T12:30Z,238,238,high
2024-01-08T12:30Z,2024-01-08T13:00Z,235,238,high
2024-01-08T13:00Z,2024-01-08T13:30Z,235,240,high
2024-01-08T13:30Z,2024-01-08T14:00Z,232,243,high
2024-01-08T14:00Z,2024-01-08T14:30Z,235,244,high
2024-01-08T14:30Z,2024-01-08T15:00Z,235,244,high
2024-01-08T15:00Z,2024-01-08T15:30Z,239,241,high
2024-01-08T15:30Z,2024-01-08T16:00Z,238,234,high
2024-01-08T16:00Z,2024-01-08T16:30Z,241,238,high
2024-01-08T16:30Z,2024-01-08T17:00Z,235,231,high
2024-01-08T17:00Z,2024-01-08T17:30Z,238,223,high
2024-01-08T17:30Z,2024-01-08T18:00Z,230,224,high
2024-01-08T18:00Z,2024-01-08T18:30Z,219,227,high
2024-01-08T18:30Z,2024-01-08T19:00Z,218,228,high
2024-01-08T19:00Z,2024-01-08T19:30Z,218,226,high
2024-01-08T19:30Z,2024-01-08T20:00Z,228,222,high
2024-01-08T20:00Z,2024-01-08T20:30Z,226,207,high
2024-01-08T20:30Z,2024-01-08T21:00Z,216,196,high
2024-01-08T21:00Z,2024-01-08T21:30Z,200,186,moderate
2024-01-08T21:30Z,2024-01-08T22:00Z,193,188,moderate
2024-01-08T22:00Z,2024-01-08T22:30Z,175,176,moderate
2024-01-08T22:30Z,2024-01-08T23:00Z,164,172,moderate
2024-01-08T23:00Z,2024-01-08T23:30Z,134,167,moderate
2024-01-08T23:30Z,2024-01-09T00:00Z,167,170,moderate
2024-01-09T00:00Z,2024-01-09T00:30Z,164,174,moderate
2024-01-09T00:30Z,2024-01-09T01:00Z,169,173,moderate
2024-01-09T01:00Z,2024-01-09T01:30Z,174,171,moderate
2024-01-09T01:30Z,2024-01-09T02:00Z,170,170,moderate
2024-01-09T02:00Z,2024-01-09T02:30Z,172,165,moderate
2024-01-09T02:30Z,2024-01-09T03:00Z,167,164,moderate
2024-01-09T03:00Z,2024-01-09T03:30Z,165,165,moderate
2024-01-09T03:30Z,2024-01-09T04:00Z,165,173,moderate
2024-01-09T04:00Z,2024-01-09T04:30Z,165,172,moderate
2024-01-09T04:30Z,2024-01-09T05:00Z,173,179,moderate
2024-01-09T05:00Z,2024-01-09T05:30Z,172,188,moderate
2024-01-09T05:30Z,2024-01-09T06:00Z,182,203,high
2024-01-09T06:00Z,2024-01-09T06:30Z,204,214,high
2024-01-09T06:30Z,2024-01-09T07:00Z,226,217,high
2024-01-09T07:00Z,2024-01-09T07:30Z,236,220,high
2024-01-09T07:30Z,2024-01-09T08:00Z,215,222,high
2024-01-09T08:00Z,2024-01-09T08:30Z,217,222,high
2024-01-09T08:30Z,2024-01-09T09:00Z,223,222,high
2024-01-09T09:00Z,2024-01-09T09:30Z,222,217,high
2024-01-09T09:30Z,2024-01-09T10:00Z,222,213,high
2024-01-09T10:00Z,2024-01-09T10:30Z,215,208,high
2024-01-09T10:30Z,2024-01-09T11:00Z,213,204,high
2024-01-09T11:00Z,2024-01-09T11:30Z,212,202,high
2024-01-09T11:30Z,2024-01-09T12:00Z,205,203,high
2024-01-09T12:00Z,2024-01-09T12:30Z,203,199,high
2024-01-09T12:30Z,2024-01-09T13:00Z,205,201,high
2024-01-09T13:00Z,2024-01-09T13:30Z,200,205,high
2024-01-09T13:30Z,2024-01-09T14:00Z,204,209,high
2024-01-09T14:00Z,2024-01-09T14:30Z,208,219,high
2024-01-09T14:30Z,2024-01-09T15:00Z,210,226,high
2024-01-09T15:00Z,2024-01-09T15:30Z,224,231,high
2024-01-09T15:30Z,2024-01-09T16:00Z,230,232,high
2024-01-09T16:00Z,2024-01-09T16:30Z,233,236,high
2024-01-09T16:30Z,2024-01-09T17:00Z,231,236,high
2024-01-09T17:00Z,2024-01-09T17:30Z,232,238,high
2024-01-09T17:30Z,2024-01-09T18:00Z,231,241,high
2024-01-09T18:00Z,2024-01-09T18:30Z,234,239,high
2024-01-09T18:30Z,2024-01-09T19:00Z,240,234,high
2024-01-09T19:00Z,2024-01-09T19:30Z,239,240,high
2024-01-09T19:30Z,2024-01-09T20:00Z,233,243,high
