property_id,property_type,epc_band,heat_pump_type,coldest_day_min_outdoor_temp_C,coldest_day_mean_indoor_temp_C,coldest_day_overnight_min_indoor_temp_C,wall_u_value,window_u_value,seasonal_cop
EoH_Home_020,Detached,E,ASHP,-5.0,19.7,13.5,0.52,1.89,2.45
EoH_Home_021,Terraced,D,Hybrid,-2.3,18.8,15.7,0.92,1.37,3.24
EoH_Home_022,Semi-Detached,D,ASHP,-2.6,17.9,14.3,0.43,2.94,3.14
EoH_Home_023,Terraced,D,Hybrid,-4.6,19.9,15.6,1.8,1.46,2.96
EoH_Home_024,Bungalow,C,Hybrid,-3.1,19.3,13.7,1.05,3.01,3.21
EoH_Home_025,Bungalow,C,GSHP,-3.1,20.2,15.2,1.19,2.05,3.23
EoH_Home_026,Terraced,C,ASHP,-6.0,19.3,15.4,0.4,1.55,3.02
EoH_Home_027,Terraced,E,ASHP,-2.4,20.5,13.2,1.42,2.23,3.19
EoH_Home_028,Terraced,D,GSHP,-4.2,19.4,14.5,0.61,2.86,3.01
EoH_Home_029,Bungalow,D,ASHP,-2.8,19.5,13.6,1.65,2.59,2.98
EoH_Home_030,Bungalow,F,ASHP,-5.1,20.6,13.3,0.61,2.73,2.9
EoH_Home_031,Semi-Detached,D,ASHP,-2.5,18.9,17.5,0.59,2.45,3.08
EoH_Home_032,Semi-Detached,D,Hybrid,-4.7,18.0,14.5,0.35,2.52,2.31
EoH_Home_033,Bungalow,E,ASHP,-6.5,17.6,16.6,1.01,2.81,3.25
EoH_Home_034,Terraced,D,ASHP,-2.4,20.1,14.1,1.15,1.67,3.23
EoH_Home_035,Terraced,C,ASHP,-6.1,19.7,16.1,0.4,2.13,2.14
EoH_Home_036,Semi-Detached,D,ASHP,-5.1,20.0,16.4,1.46,1.62,3.17
EoH_Home_037,Bungalow,C,Hybrid,-2.2,18.2,15.7,0.98,3.08,2.27
EoH_Home_038,Semi-Detached,F,ASHP,-2.2,18.0,15.1,1.09,2.99,2.54
EoH_Home_039,Semi-Detached,E,ASHP,-3.9,17.6,14.9,0.96,1.27,3.07
EoH_Home_040,Detached,E,GSHP,-3.7,18.7,14.6,0.9,2.54,2.31
EoH_Home_041,Detached,E,ASHP,-4.5,19.6,17.2,1.14,2.96,3.16
EoH_Home_042,Detached,E,ASHP,-5.2,18.9,16.7,0.53,1.54,3.18
EoH_Home_043,Terraced,C,ASHP,-5.0,19.0,17.3,0.57,2.28,2.76
EoH_Home_044,Bungalow,E,ASHP,-3.5,20.7,13.6,1.59,2.94,2.11
EoH_Home_045,Bungalow,D,ASHP,-3.1,18.7,16.3,1.72,1.26,2.47
EoH_Home_046,Bungalow,E,GSHP,-2.9,19.3,17.2,0.86,2.53,2.9
EoH_Home_047,Bungalow,E,GSHP,-2.9,20.2,13.8,0.71,1.76,3.38
EoH_Home_048,Detached,D,GSHP,-6.1,18.9,13.3,1.27,2.96,2.92
EoH_Home_049,Terraced,C,Hybrid,-4.3,19.7,16.3,0.91,3.05,2.44
EoH_Home_050,Terraced,D,ASHP,-6.2,20.5,15.6,0.34,2.99,2.92
EoH_Home_051,Detached,D,ASHP,-4.0,20.8,16.8,0.53,2.1,2.8
EoH_Home_052,Terraced,E,GSHP,-4.5,18.0,13.6,1.37,2.84,3.11
EoH_Home_053,Detached,E,ASHP,-2.5,20.7,16.6,1.29,2.8,2.24
EoH_Home_054,Bungalow,C,ASHP,-4.9,19.2,13.9,0.34,1.81,3.09
EoH_Home_055,Detached,D,GSHP,-6.0,18.4,13.7,0.63,2.77,2.8
EoH_Home_056,Bungalow,D,GSHP,-5.9,19.1,13.7,0.65,1.27,3.35
EoH_Home_057,Bungalow,D,ASHP,-3.1,20.9,16.7,1.31,2.33,2.54
EoH_Home_058,Semi-Detached,C,ASHP,-3.7,19.2,16.0,0.33,1.64,2.92
EoH_Home_059,Detached,D,ASHP,-6.0,18.7,15.4,0.46,1.43,3.31
EoH_Home_060,Semi-Detached,F,ASHP,-6.1,19.7,14.6,1.5,1.35,2.23
EoH_Home_061,Detached,D,ASHP,-3.3,18.3,16.9,0.57,2.52,3.32
EoH_Home_062,Detached,D,ASHP,-6.2,17.8,14.8,1.28,1.85,2.99
EoH_Home_063,Semi-Detached,E,ASHP,-2.8,18.0,16.7,0.66,2.58,2.19
EoH_Home_064,Semi-Detached,D,ASHP,-3.3,17.9,15.0,0.45,1.32,2.49
EoH_Home_065,Detached,F,ASHP,-6.1,18.0,14.7,0.66,1.8,3.02
EoH_Home_066,Terraced,F,ASHP,-6.1,18.0,15.1,1.38,2.23,2.19
EoH_Home_067,Bungalow,D,ASHP,-2.1,19.7,14.4,1.58,2.7,2.86
EoH_Home_068,Semi-Detached,D,GSHP,-4.8,18.1,16.4,1.55,1.81,2.55
EoH_Home_069,Bungalow,D,ASHP,-4.8,18.7,15.3,0.9,2.39,2.91
EoH_Home_070,Terraced,D,ASHP,-2.8,20.6,14.0,1.3,2.88,2.16
EoH_Home_071,Terraced,C,ASHP,-2.2,19.2,17.0,0.61,2.37,3.23
EoH_Home_072,Terraced,E,GSHP,-2.1,19.8,14.7,0.74,1.64,3.37
EoH_Home_073,Semi-Detached,D,ASHP,-3.1,18.1,15.4,1.64,1.25,3.36
EoH_Home_074,Terraced,C,ASHP,-4.8,18.2,17.1,0.32,2.85,3.07
EoH_Home_075,Semi-Detached,D,ASHP,-6.1,17.6,15.8,0.43,1.24,2.27
EoH_Home_076,Terraced,F,ASHP,-3.0,18.1,13.5,0.61,2.86,3.09
EoH_Home_077,Bungalow,D,ASHP,-4.0,18.5,17.2,0.34,2.2,2.13
EoH_Home_078,Bungalow,C,ASHP,-4.6,18.1,15.8,0.57,2.98,2.13
EoH_Home_079,Detached,D,ASHP,-2.4,17.8,14.5,1.17,2.72,2.52
EoH_Home_080,Bungalow,F,ASHP,-6.0,17.9,13.6,0.93,3.1,2.74
EoH_Home_081,Detached,D,Hybrid,-4.3,19.1,16.6,1.64,1.87,3.1
EoH_Home_082,Bungalow,E,ASHP,-6.4,18.2,15.8,1.53,2.66,2.99
EoH_Home_083,Semi-Detached,E,ASHP,-4.4,18.8,15.4,0.81,1.96,2.68
EoH_Home_084,Bungalow,D,GSHP,-6.2,19.3,17.0,0.69,2.11,2.46
EoH_Home_085,Detached,E,ASHP,-6.0,19.9,16.5,0.87,2.39,3.4
EoH_Home_086,Detached,D,ASHP,-6.0,17.6,13.7,1.19,2.86,2.65
EoH_Home_087,Terraced,E,ASHP,-3.6,20.3,14.4,0.7,3.07,2.69
EoH_Home_088,Semi-Detached,E,ASHP,-3.1,19.7,14.1,1.24,2.66,2.31
EoH_Home_089,Bungalow,D,Hybrid,-3.9,17.8,16.3,0.91,1.99,3.13
EoH_Home_090,Terraced,C,GSHP,-2.2,20.6,13.2,1.13,2.0,3.0
EoH_Home_091,Bungalow,E,ASHP,-4.8,20.7,15.6,0.95,2.6,2.39
EoH_Home_092,Bungalow,D,ASHP,-5.2,17.7,16.4,0.74,1.65,2.21
EoH_Home_093,Terraced,C,ASHP,-2.6,18.5,16.9,1.72,1.41,2.98
EoH_Home_094,Terraced,C,ASHP,-5.5,20.3,14.5,1.45,1.87,2.95
EoH_Home_095,Terraced,D,ASHP,-2.2,20.1,16.7,0.51,1.75,2.46
EoH_Home_096,Terraced,E,ASHP,-6.4,18.1,13.5,1.6,1.76,3.34
EoH_Home_097,Terraced,C,ASHP,-2.1,18.2,16.8,1.03,1.64,2.3
EoH_Home_098,Bungalow,D,ASHP,-6.3,18.8,13.6,1.64,1.28,2.66
EoH_Home_099,Terraced,D,ASHP,-2.5,19.2,14.8,1.5,1.23,3.33
EoH_Home_100,Semi-Detached,E,Hybrid,-4.1,19.7,16.6,0.94,3.08,2.65
EoH_Home_101,Detached,C,ASHP,-2.0,18.8,13.7,0.33,2.01,2.93
EoH_Home_102,Terraced,E,ASHP,-6.2,19.1,14.0,0.7,1.93,2.62
EoH_Home_103,Terraced,D,ASHP,-4.0,20.1,16.3,1.11,2.49,2.46
EoH_Home_104,Bungalow,F,ASHP,-2.1,17.6,16.2,1.25,1.61,3.38
EoH_Home_105,Terraced,C,ASHP,-4.1,18.4,15.9,0.69,3.0,2.63
EoH_Home_106,Terraced,D,ASHP,-3.7,20.0,16.1,0.51,2.69,3.26
EoH_Home_107,Terraced,C,GSHP,-3.4,20.6,15.4,1.55,1.37,2.4
EoH_Home_108,Bungalow,F,ASHP,-4.5,19.3,14.1,1.78,1.99,2.38
EoH_Home_109,Terraced,E,ASHP,-3.7,19.4,14.6,1.09,2.87,2.14
EoH_Home_110,Detached,D,ASHP,-3.9,17.9,13.8,0.56,2.99,2.95
EoH_Home_111,Bungalow,E,ASHP,-2.4,19.1,17.1,0.71,2.09,2.58
EoH_Home_112,Detached,E,GSHP,-6.3,19.4,15.6,0.33,2.37,3.22
EoH_Home_113,Bungalow,D,ASHP,-5.2,18.3,14.8,1.67,1.52,2.72
EoH_Home_114,Terraced,D,ASHP,-2.2,18.4,15.1,0.48,3.08,3.36
EoH_Home_115,Detached,D,ASHP,-2.5,18.8,17.3,1.16,1.64,2.34
EoH_Home_116,Bungalow,C,ASHP,-4.4,17.6,13.7,0.71,2.99,3.23
EoH_Home_117,Semi-Detached,E,ASHP,-3.7,18.6,15.6,1.13,2.43,3.11
EoH_Home_118,Terraced,F,ASHP,-5.3,18.2,15.3,1.28,2.35,3.1
EoH_Home_119,Bungalow,E,ASHP,-5.7,18.6,15.8,1.54,2.17,3.2
EoH_Home_120,Semi-Detached,D,ASHP,-4.4,17.9,13.1,0.61,1.64,3.09
EoH_Home_121,Bungalow,D,ASHP,-4.9,20.6,16.9,0.32,1.54,2.91
EoH_Home_122,Semi-Detached,E,ASHP,-3.9,19.6,17.2,0.51,1.62,2.27
EoH_Home_123,Terraced,E,ASHP,-6.2,19.9,15.5,1.65,1.55,2.14
EoH_Home_124,Detached,E,ASHP,-2.1,20.3,16.1,1.61,2.68,3.3
EoH_Home_125,Semi-Detached,E,ASHP,-2.1,19.2,17.2,1.2,1.87,2.9
EoH_Home_126,Bungalow,E,ASHP,-3.4,17.8,16.2,1.2,1.31,3.14
EoH_Home_127,Terraced,C,GSHP,-4.1,19.4,13.7,1.3,3.04,2.73
EoH_Home_128,Semi-Detached,C,ASHP,-5.1,19.6,15.6,0.56,2.88,2.25
EoH_Home_129,Bungalow,E,ASHP,-2.8,20.1,15.7,1.67,2.96,2.26
EoH_Home_130,Bungalow,E,ASHP,-3.4,19.0,14.9,0.93,3.09,2.99
EoH_Home_131,Bungalow,C,ASHP,-5.8,17.9,16.3,0.87,1.53,2.66
EoH_Home_132,Semi-Detached,C,ASHP,-2.4,18.5,17.2,1.08,1.95,2.36
EoH_Home_133,Semi-Detached,E,ASHP,-2.8,18.8,17.2,0.37,2.64,2.74
EoH_Home_134,Semi-Detached,C,Hybrid,-2.2,19.8,15.0,0.55,2.52,2.18
EoH_Home_135,Detached,C,ASHP,-3.2,19.5,13.5,1.41,1.49,2.86
EoH_Home_136,Semi-Detached,D,ASHP,-3.7,18.7,17.4,0.42,2.75,2.45
EoH_Home_137,Semi-Detached,E,ASHP,-4.6,21.0,16.8,1.2,1.63,3.14
EoH_Home_138,Semi-Detached,E,ASHP,-2.3,19.6,13.6,0.67,1.63,2.5
EoH_Home_139,Detached,D,ASHP,-2.6,18.3,17.1,0.88,2.22,2.69
EoH_Home_140,Semi-Detached,E,Hybrid,-6.3,17.9,16.9,0.73,2.33,2.12
EoH_Home_141,Bungalow,D,ASHP,-6.4,18.0,15.3,0.83,2.3,2.19
EoH_Home_142,Semi-Detached,D,Hybrid,-4.8,18.4,15.7,1.38,1.37,2.61
EoH_Home_143,Bungalow,E,Hybrid,-2.9,18.1,14.8,0.75,2.87,2.72
EoH_Home_144,Bungalow,E,ASHP,-2.1,18.2,13.2,1.15,1.7,2.88
EoH_Home_145,Bungalow,E,ASHP,-5.8,18.5,14.5,1.01,1.45,2.48
EoH_Home_146,Detached,E,ASHP,-3.8,18.1,16.6,1.3,2.89,3.0
EoH_Home_147,Detached,D,ASHP,-4.8,20.6,13.0,1.71,3.02,3.22
EoH_Home_148,Detached,C,ASHP,-2.1,17.8,14.5,1.4,2.84,3.11
EoH_Home_149,Semi-Detached,D,ASHP,-2.7,19.3,14.8,0.62,2.74,2.15
EoH_Home_150,Bungalow,D,ASHP,-2.7,18.9,15.4,0.35,2.44,2.72
